#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,10/09/2023 17:10:13,18.44,,
2,10/09/2023 17:13:13,18.27,,
3,10/09/2023 17:16:13,18.19,,
4,10/09/2023 17:19:13,18.10,,
5,10/09/2023 17:22:13,18.19,,
6,10/09/2023 17:25:13,17.93,,
7,10/09/2023 17:28:13,17.67,,
8,10/09/2023 17:31:13,17.67,,
9,10/09/2023 17:34:13,17.67,,
10,10/09/2023 17:37:13,17.46,,
11,10/09/2023 17:40:13,17.29,,
12,10/09/2023 17:43:13,17.03,,
13,10/09/2023 17:46:13,16.17,,
14,10/09/2023 17:49:13,14.97,,
15,10/09/2023 17:52:13,15.36,,
16,10/09/2023 17:55:13,14.15,,
17,10/09/2023 17:58:13,13.85,,
18,10/09/2023 18:01:13,13.17,,
19,10/09/2023 18:04:13,12.31,,
20,10/09/2023 18:07:13,12.31,,
21,10/09/2023 18:10:13,12.22,,
22,10/09/2023 18:13:13,11.75,,
23,10/09/2023 18:16:13,11.19,,
24,10/09/2023 18:19:13,8.96,,
25,10/09/2023 18:22:13,8.96,,
26,10/09/2023 18:25:13,10.46,,
27,10/09/2023 18:28:13,10.38,,
28,10/09/2023 18:31:13,10.64,,
29,10/09/2023 18:34:13,9.48,,
30,10/09/2023 18:37:13,8.92,,
31,10/09/2023 18:40:13,9.48,,
32,10/09/2023 18:43:13,9.26,,
33,10/09/2023 18:46:13,8.62,,
34,10/09/2023 18:49:13,7.20,,
35,10/09/2023 18:52:13,7.50,,
36,10/09/2023 18:55:13,7.29,,
37,10/09/2023 18:58:13,6.99,,
38,10/09/2023 19:01:13,6.13,,
39,10/09/2023 19:04:13,6.09,,
40,10/09/2023 19:07:13,5.32,,
41,10/09/2023 19:10:13,4.07,,
42,10/09/2023 19:13:13,4.29,,
43,10/09/2023 19:16:13,5.96,,
44,10/09/2023 19:19:13,4.89,,
45,10/09/2023 19:22:13,2.91,,
46,10/09/2023 19:25:13,3.00,,
47,10/09/2023 19:28:13,2.40,,
48,10/09/2023 19:31:13,2.70,,
49,10/09/2023 19:34:13,3.64,,
50,10/09/2023 19:37:13,1.71,,
51,10/09/2023 19:40:13,0.17,,
52,10/09/2023 19:43:13,0.17,,
53,10/09/2023 19:46:13,1.93,,
54,10/09/2023 19:49:13,1.58,,
55,10/09/2023 19:52:13,-0.17,,
56,10/09/2023 19:55:13,-0.60,,
57,10/09/2023 19:58:13,-0.56,,
58,10/09/2023 20:01:13,-0.90,,
59,10/09/2023 20:04:13,-0.86,,
60,10/09/2023 20:07:13,-1.20,,
61,10/09/2023 20:10:13,-0.13,,
62,10/09/2023 20:13:13,-0.52,,
63,10/09/2023 20:16:13,-1.38,,
64,10/09/2023 20:19:13,-1.16,,
65,10/09/2023 20:22:13,-1.46,,
66,10/09/2023 20:25:13,-1.72,,
67,10/09/2023 20:28:13,-1.72,,
68,10/09/2023 20:31:13,-1.89,,
69,10/09/2023 20:34:13,-2.41,,
70,10/09/2023 20:37:13,-2.32,,
71,10/09/2023 20:40:13,-2.19,,
72,10/09/2023 20:43:13,-3.22,,
73,10/09/2023 20:46:13,-2.96,,
74,10/09/2023 20:49:13,-2.92,,
75,10/09/2023 20:52:13,-3.52,,
76,10/09/2023 20:55:13,-2.92,,
77,10/09/2023 20:58:13,-2.75,,
78,10/09/2023 21:01:13,-3.01,,
79,10/09/2023 21:04:13,-3.01,,
80,10/09/2023 21:07:13,-2.49,,
81,10/09/2023 21:10:13,-1.59,,
82,10/09/2023 21:13:13,-1.55,,
83,10/09/2023 21:16:13,-1.59,,
84,10/09/2023 21:19:13,-2.23,,
85,10/09/2023 21:22:13,-1.63,,
86,10/09/2023 21:25:13,-2.53,,
87,10/09/2023 21:28:13,-2.49,,
88,10/09/2023 21:31:13,-1.68,,
89,10/09/2023 21:34:13,-3.22,,
90,10/09/2023 21:37:13,-3.22,,
91,10/09/2023 21:40:13,-2.45,,
92,10/09/2023 21:43:13,-3.22,,
93,10/09/2023 21:46:13,-2.49,,
94,10/09/2023 21:49:13,-1.76,,
95,10/09/2023 21:52:13,-1.59,,
96,10/09/2023 21:55:13,-2.19,,
97,10/09/2023 21:58:13,-3.61,,
98,10/09/2023 22:01:13,-4.12,,
99,10/09/2023 22:04:13,-3.74,,
100,10/09/2023 22:07:13,-4.12,,
101,10/09/2023 22:10:13,-4.29,,
102,10/09/2023 22:13:13,-4.16,,
103,10/09/2023 22:16:13,-3.61,,
104,10/09/2023 22:19:13,-3.78,,
105,10/09/2023 22:22:13,-3.65,,
106,10/09/2023 22:25:13,-3.56,,
107,10/09/2023 22:28:13,-3.09,,
108,10/09/2023 22:31:13,-3.09,,
109,10/09/2023 22:34:13,-3.86,,
110,10/09/2023 22:37:13,-3.31,,
111,10/09/2023 22:40:13,-3.52,,
112,10/09/2023 22:43:13,-2.92,,
113,10/09/2023 22:46:13,-1.72,,
114,10/09/2023 22:49:13,-0.69,,
115,10/09/2023 22:52:13,-0.65,,
116,10/09/2023 22:55:13,0.47,,
117,10/09/2023 22:58:13,-1.85,,
118,10/09/2023 23:01:13,-3.65,,
119,10/09/2023 23:04:13,-2.45,,
120,10/09/2023 23:07:13,-2.23,,
121,10/09/2023 23:10:13,-3.35,,
122,10/09/2023 23:13:13,-3.22,,
123,10/09/2023 23:16:13,-3.52,,
124,10/09/2023 23:19:13,-3.48,,
125,10/09/2023 23:22:13,-3.61,,
126,10/09/2023 23:25:13,-4.29,,
127,10/09/2023 23:28:13,-4.12,,
128,10/09/2023 23:31:13,-3.26,,
129,10/09/2023 23:34:13,-2.15,,
130,10/09/2023 23:37:13,-2.15,,
131,10/09/2023 23:40:13,-3.48,,
132,10/09/2023 23:43:13,-3.22,,
133,10/09/2023 23:46:13,-3.22,,
134,10/09/2023 23:49:13,-2.23,,
135,10/09/2023 23:52:13,-3.09,,
136,10/09/2023 23:55:13,-4.72,,
137,10/09/2023 23:58:13,-4.59,,
138,10/10/2023 00:01:13,-4.81,,
139,10/10/2023 00:04:13,-5.58,,
140,10/10/2023 00:07:13,-5.41,,
141,10/10/2023 00:10:13,-6.57,,
142,10/10/2023 00:13:13,-6.01,,
143,10/10/2023 00:16:13,-6.65,,
144,10/10/2023 00:19:13,-6.87,,
145,10/10/2023 00:22:13,-6.91,,
146,10/10/2023 00:25:13,-5.28,,
147,10/10/2023 00:28:13,-4.64,,
148,10/10/2023 00:31:13,-5.54,,
149,10/10/2023 00:34:13,-6.27,,
150,10/10/2023 00:37:13,-7.08,,
151,10/10/2023 00:40:13,-6.74,,
152,10/10/2023 00:43:13,-5.37,,
153,10/10/2023 00:46:13,-4.34,,
154,10/10/2023 00:49:13,-3.86,,
155,10/10/2023 00:52:13,-4.04,,
156,10/10/2023 00:55:13,-4.59,,
157,10/10/2023 00:58:13,-4.89,,
158,10/10/2023 01:01:13,-5.37,,
159,10/10/2023 01:04:13,-5.92,,
160,10/10/2023 01:07:13,-6.91,,
161,10/10/2023 01:10:13,-6.82,,
162,10/10/2023 01:13:13,-7.08,,
163,10/10/2023 01:16:13,-7.77,,
164,10/10/2023 01:19:13,-7.17,,
165,10/10/2023 01:22:13,-6.95,,
166,10/10/2023 01:25:13,-6.91,,
167,10/10/2023 01:28:13,-7.21,,
168,10/10/2023 01:31:13,-6.48,,
169,10/10/2023 01:34:13,-6.61,,
170,10/10/2023 01:37:13,-6.48,,
171,10/10/2023 01:40:13,-5.79,,
172,10/10/2023 01:43:13,-5.62,,
173,10/10/2023 01:46:13,-6.18,,
174,10/10/2023 01:49:13,-7.51,,
175,10/10/2023 01:52:13,-6.18,,
176,10/10/2023 01:55:13,-5.79,,
177,10/10/2023 01:58:13,-6.44,,
178,10/10/2023 02:01:13,-7.60,,
179,10/10/2023 02:04:13,-7.77,,
180,10/10/2023 02:07:13,-7.30,,
181,10/10/2023 02:10:13,-6.52,,
182,10/10/2023 02:13:13,-5.79,,
183,10/10/2023 02:16:13,-5.15,,
184,10/10/2023 02:19:13,-4.38,,
185,10/10/2023 02:22:13,-4.25,,
186,10/10/2023 02:25:13,-5.71,,
187,10/10/2023 02:28:13,-6.91,,
188,10/10/2023 02:31:13,-7.47,,
189,10/10/2023 02:34:13,-7.47,,
190,10/10/2023 02:37:13,-6.74,,
191,10/10/2023 02:40:13,-5.67,,
192,10/10/2023 02:43:13,-5.24,,
193,10/10/2023 02:46:13,-6.31,,
194,10/10/2023 02:49:13,-6.27,,
195,10/10/2023 02:52:13,-6.27,,
196,10/10/2023 02:55:13,-5.71,,
197,10/10/2023 02:58:13,-5.54,,
198,10/10/2023 03:01:13,-6.01,,
199,10/10/2023 03:04:13,-6.44,,
200,10/10/2023 03:07:13,-7.55,,
201,10/10/2023 03:10:13,-9.31,,
202,10/10/2023 03:13:13,-8.50,,
203,10/10/2023 03:16:13,-8.03,,
204,10/10/2023 03:19:13,-9.05,,
205,10/10/2023 03:22:13,-8.88,,
206,10/10/2023 03:25:13,-9.05,,
207,10/10/2023 03:28:13,-8.63,,
208,10/10/2023 03:31:13,-9.44,,
209,10/10/2023 03:34:13,-8.75,,
210,10/10/2023 03:37:13,-8.07,,
211,10/10/2023 03:40:13,-8.15,,
212,10/10/2023 03:43:13,-8.33,,
213,10/10/2023 03:46:13,-8.07,,
214,10/10/2023 03:49:13,-8.24,,
215,10/10/2023 03:52:13,-8.11,,
216,10/10/2023 03:55:13,-7.85,,
217,10/10/2023 03:58:13,-7.42,,
218,10/10/2023 04:01:13,-7.51,,
219,10/10/2023 04:04:13,-8.11,,
220,10/10/2023 04:07:13,-8.37,,
221,10/10/2023 04:10:13,-8.67,,
222,10/10/2023 04:13:13,-8.41,,
223,10/10/2023 04:16:13,-6.52,,
224,10/10/2023 04:19:13,-7.47,,
225,10/10/2023 04:22:13,-7.94,,
226,10/10/2023 04:25:13,-8.41,,
227,10/10/2023 04:28:13,-9.01,,
228,10/10/2023 04:31:13,-9.48,,
229,10/10/2023 04:34:13,-9.01,,
230,10/10/2023 04:37:13,-9.70,,
231,10/10/2023 04:40:13,-9.48,,
232,10/10/2023 04:43:13,-9.70,,
233,10/10/2023 04:46:13,-8.20,,
234,10/10/2023 04:49:13,-8.03,,
235,10/10/2023 04:52:13,-7.17,,
236,10/10/2023 04:55:13,-7.51,,
237,10/10/2023 04:58:13,-8.75,,
238,10/10/2023 05:01:13,-9.61,,
239,10/10/2023 05:04:13,-9.14,,
240,10/10/2023 05:07:13,-7.98,,
241,10/10/2023 05:10:13,-7.98,,
242,10/10/2023 05:13:13,-8.93,,
243,10/10/2023 05:16:13,-9.57,,
244,10/10/2023 05:19:13,-8.54,,
245,10/10/2023 05:22:13,-8.33,,
246,10/10/2023 05:25:13,-8.03,,
247,10/10/2023 05:28:13,-8.97,,
248,10/10/2023 05:31:13,-8.45,,
249,10/10/2023 05:34:13,-8.03,,
250,10/10/2023 05:37:13,-8.67,,
251,10/10/2023 05:40:13,-10.00,,
252,10/10/2023 05:43:13,-10.56,,
253,10/10/2023 05:46:13,-10.86,,
254,10/10/2023 05:49:13,-10.81,,
255,10/10/2023 05:52:13,-9.61,,
256,10/10/2023 05:55:13,-8.67,,
257,10/10/2023 05:58:13,-8.58,,
258,10/10/2023 06:01:13,-8.24,,
259,10/10/2023 06:04:13,-9.05,,
260,10/10/2023 06:07:13,-8.33,,
261,10/10/2023 06:10:13,-8.45,,
262,10/10/2023 06:13:13,-8.50,,
263,10/10/2023 06:16:13,-9.23,,
264,10/10/2023 06:19:13,-8.24,,
265,10/10/2023 06:22:13,-7.85,,
266,10/10/2023 06:25:13,-8.75,,
267,10/10/2023 06:28:13,-9.23,,
268,10/10/2023 06:31:13,-9.44,,
269,10/10/2023 06:34:13,-8.45,,
270,10/10/2023 06:37:13,-7.30,,
271,10/10/2023 06:40:13,-8.11,,
272,10/10/2023 06:43:13,-6.78,,
273,10/10/2023 06:46:13,-6.74,,
274,10/10/2023 06:49:13,-6.35,,
275,10/10/2023 06:52:13,-7.34,,
276,10/10/2023 06:55:13,-8.54,,
277,10/10/2023 06:58:13,-9.18,,
278,10/10/2023 07:01:13,-9.44,,
279,10/10/2023 07:04:13,-9.44,,
280,10/10/2023 07:07:13,-9.14,,
281,10/10/2023 07:10:13,-8.45,,
282,10/10/2023 07:13:13,-8.24,,
283,10/10/2023 07:16:13,-8.54,,
284,10/10/2023 07:19:13,-7.77,,
285,10/10/2023 07:22:13,-8.11,,
286,10/10/2023 07:25:13,-8.45,,
287,10/10/2023 07:28:13,-7.85,,
288,10/10/2023 07:31:13,-9.10,,
289,10/10/2023 07:34:13,-9.74,,
290,10/10/2023 07:37:13,-9.74,,
291,10/10/2023 07:40:13,-9.27,,
292,10/10/2023 07:43:13,-8.93,,
293,10/10/2023 07:46:13,-9.05,,
294,10/10/2023 07:49:13,-8.93,,
295,10/10/2023 07:52:13,-8.33,,
296,10/10/2023 07:55:13,-7.60,,
297,10/10/2023 07:58:13,-7.00,,
