#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Button Down,Started Offset,Host Connected,End of File
1,12/17/2023 16:54:13,,Logged,Logged,,
2,12/17/2023 16:54:18,21.75,,,,
3,12/17/2023 16:57:18,22.26,,,,
4,12/17/2023 17:00:18,9.14,,,,
5,12/17/2023 17:03:18,0.51,,,,
6,12/17/2023 17:06:18,-2.10,,,,
7,12/17/2023 17:09:18,-3.61,,,,
8,12/17/2023 17:12:18,-4.51,,,,
9,12/17/2023 17:15:18,-5.11,,,,
10,12/17/2023 17:18:18,-5.45,,,,
11,12/17/2023 17:21:18,-5.67,,,,
12,12/17/2023 17:24:18,-5.58,,,,
13,12/17/2023 17:27:18,-5.62,,,,
14,12/17/2023 17:30:18,-5.79,,,,
15,12/17/2023 17:33:18,-6.09,,,,
16,12/17/2023 17:36:18,-6.74,,,,
17,12/17/2023 17:39:18,-6.95,,,,
18,12/17/2023 17:42:18,-6.74,,,,
19,12/17/2023 17:45:18,-6.39,,,,
20,12/17/2023 17:48:18,-6.14,,,,
21,12/17/2023 17:51:18,-6.01,,,,
22,12/17/2023 17:54:18,-6.31,,,,
23,12/17/2023 17:57:18,-6.48,,,,
24,12/17/2023 18:00:18,-6.44,,,,
25,12/17/2023 18:03:18,-6.74,,,,
26,12/17/2023 18:06:18,-6.95,,,,
27,12/17/2023 18:09:18,-7.17,,,,
28,12/17/2023 18:12:18,-7.51,,,,
29,12/17/2023 18:15:18,-7.55,,,,
30,12/17/2023 18:18:18,-7.72,,,,
31,12/17/2023 18:21:18,-8.07,,,,
32,12/17/2023 18:24:18,-8.03,,,,
33,12/17/2023 18:27:18,-8.03,,,,
34,12/17/2023 18:30:18,-8.03,,,,
35,12/17/2023 18:33:18,-7.38,,,,
36,12/17/2023 18:36:18,-7.34,,,,
37,12/17/2023 18:39:18,-7.38,,,,
38,12/17/2023 18:42:18,-7.34,,,,
39,12/17/2023 18:45:18,-7.25,,,,
40,12/17/2023 18:48:18,-7.30,,,,
41,12/17/2023 18:51:18,-7.55,,,,
42,12/17/2023 18:54:18,-7.77,,,,
43,12/17/2023 18:57:18,-8.03,,,,
44,12/17/2023 19:00:18,-8.37,,,,
45,12/17/2023 19:03:18,-8.84,,,,
46,12/17/2023 19:06:18,-9.01,,,,
47,12/17/2023 19:09:18,-9.01,,,,
48,12/17/2023 19:12:18,-9.10,,,,
49,12/17/2023 19:15:18,-9.31,,,,
50,12/17/2023 19:18:18,-8.84,,,,
51,12/17/2023 19:21:18,-8.88,,,,
52,12/17/2023 19:24:18,-8.88,,,,
53,12/17/2023 19:27:18,-8.41,,,,
54,12/17/2023 19:30:18,-8.03,,,,
55,12/17/2023 19:33:18,-8.11,,,,
56,12/17/2023 19:36:18,-8.54,,,,
57,12/17/2023 19:39:18,-8.88,,,,
58,12/17/2023 19:42:18,-8.97,,,,
59,12/17/2023 19:45:18,-9.05,,,,
60,12/17/2023 19:48:18,-8.93,,,,
61,12/17/2023 19:51:18,-8.93,,,,
62,12/17/2023 19:54:18,-8.93,,,,
63,12/17/2023 19:57:18,-8.84,,,,
64,12/17/2023 20:00:18,-8.75,,,,
65,12/17/2023 20:03:18,-8.67,,,,
66,12/17/2023 20:06:18,-9.01,,,,
67,12/17/2023 20:09:18,-9.27,,,,
68,12/17/2023 20:12:18,-9.53,,,,
69,12/17/2023 20:15:18,-9.74,,,,
70,12/17/2023 20:18:18,-9.91,,,,
71,12/17/2023 20:21:18,-9.96,,,,
72,12/17/2023 20:24:18,-10.17,,,,
73,12/17/2023 20:27:18,-10.34,,,,
74,12/17/2023 20:30:18,-10.47,,,,
75,12/17/2023 20:33:18,-10.30,,,,
76,12/17/2023 20:36:18,-9.91,,,,
77,12/17/2023 20:39:18,-10.04,,,,
78,12/17/2023 20:42:18,-10.08,,,,
79,12/17/2023 20:45:18,-10.26,,,,
80,12/17/2023 20:48:18,-10.43,,,,
81,12/17/2023 20:51:18,-10.77,,,,
82,12/17/2023 20:54:18,-10.99,,,,
83,12/17/2023 20:57:18,-11.24,,,,
84,12/17/2023 21:00:18,-11.11,,,,
85,12/17/2023 21:03:18,-11.24,,,,
86,12/17/2023 21:06:18,-11.37,,,,
87,12/17/2023 21:09:18,-11.54,,,,
88,12/17/2023 21:12:18,-11.67,,,,
89,12/17/2023 21:15:18,-11.41,,,,
90,12/17/2023 21:18:18,-11.33,,,,
91,12/17/2023 21:21:18,-11.29,,,,
92,12/17/2023 21:24:18,-11.37,,,,
93,12/17/2023 21:27:18,-11.46,,,,
94,12/17/2023 21:30:18,-11.46,,,,
95,12/17/2023 21:33:18,-11.46,,,,
96,12/17/2023 21:36:18,-11.46,,,,
97,12/17/2023 21:39:18,-11.50,,,,
98,12/17/2023 21:42:18,-11.37,,,,
99,12/17/2023 21:45:18,-11.46,,,,
100,12/17/2023 21:48:18,-11.54,,,,
101,12/17/2023 21:51:18,-11.59,,,,
102,12/17/2023 21:54:18,-11.93,,,,
103,12/17/2023 21:57:18,-12.19,,,,
