#,Date-Time (MST/MDT),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,10/19/2022 08:20:07,-3.35,,
2,10/19/2022 08:23:07,-3.18,,
3,10/19/2022 08:26:07,-2.88,,
4,10/19/2022 08:29:07,-2.58,,
5,10/19/2022 08:32:07,-2.41,,
6,10/19/2022 08:35:07,-2.45,,
7,10/19/2022 08:38:07,-1.72,,
8,10/19/2022 08:41:07,-1.50,,
9,10/19/2022 08:44:07,-1.42,,
10,10/19/2022 08:47:07,-0.90,,
11,10/19/2022 08:50:07,-0.47,,
12,10/19/2022 08:53:07,0.25,,
13,10/19/2022 08:56:07,0.30,,
14,10/19/2022 08:59:07,0.81,,
15,10/19/2022 09:02:07,1.03,,
16,10/19/2022 09:05:07,1.33,,
17,10/19/2022 09:08:07,1.50,,
18,10/19/2022 09:11:07,2.10,,
19,10/19/2022 09:14:07,2.66,,
20,10/19/2022 09:17:07,2.79,,
21,10/19/2022 09:20:07,2.96,,
22,10/19/2022 09:23:07,3.73,,
23,10/19/2022 09:26:07,3.82,,
24,10/19/2022 09:29:07,4.29,,
25,10/19/2022 09:32:07,4.50,,
26,10/19/2022 09:35:07,5.02,,
27,10/19/2022 09:38:07,5.32,,
28,10/19/2022 09:41:07,5.45,,
29,10/19/2022 09:44:07,5.45,,
30,10/19/2022 09:47:07,5.57,,
31,10/19/2022 09:50:07,5.49,,
32,10/19/2022 09:53:07,6.00,,
33,10/19/2022 09:56:07,6.99,,
34,10/19/2022 09:59:07,7.25,,
35,10/19/2022 10:02:07,7.25,,
36,10/19/2022 10:05:07,7.29,,
37,10/19/2022 10:08:07,6.82,,
38,10/19/2022 10:11:07,6.95,,
39,10/19/2022 10:14:07,8.66,,
40,10/19/2022 10:17:07,9.44,,
41,10/19/2022 10:20:07,9.56,,
42,10/19/2022 10:23:07,8.66,,
43,10/19/2022 10:26:07,8.88,,
44,10/19/2022 10:29:07,8.41,,
45,10/19/2022 10:32:07,9.35,,
46,10/19/2022 10:35:07,9.61,,
47,10/19/2022 10:38:07,9.86,,
48,10/19/2022 10:41:07,10.21,,
49,10/19/2022 10:44:07,9.52,,
50,10/19/2022 10:47:07,9.74,,
51,10/19/2022 10:50:07,10.38,,
52,10/19/2022 10:53:07,10.12,,
53,10/19/2022 10:56:07,11.71,,
54,10/19/2022 10:59:07,11.75,,
55,10/19/2022 11:02:07,11.84,,
56,10/19/2022 11:05:07,11.32,,
57,10/19/2022 11:08:07,10.51,,
58,10/19/2022 11:11:07,11.11,,
59,10/19/2022 11:14:07,12.05,,
60,10/19/2022 11:17:07,12.18,,
61,10/19/2022 11:20:07,12.10,,
62,10/19/2022 11:23:07,12.01,,
63,10/19/2022 11:26:07,12.05,,
64,10/19/2022 11:29:07,12.05,,
65,10/19/2022 11:32:07,12.52,,
66,10/19/2022 11:35:07,13.12,,
